cluster_id,observation_count,active_days,first_detection,last_detection,time_span_days,start_latitude,start_longitude,end_latitude,end_longitude,total_movement_distance_km,movement_rate_km_per_day,movement_bearing_degrees,movement_direction,movement_confidence,movement_status,direction,movement_pattern,direction_confidence,direction_confidence_score,direction_available
39,19,3,2026-08-01T19:25:00+00:00,2026-08-04T07:41:00+00:00,2.511,20.79426,85.25398,20.79527,85.25335,0.13,0.052,329.83,NW,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
40,7,3,2026-08-01T19:25:00+00:00,2026-08-03T19:45:00+00:00,2.014,20.86213,84.98734,20.86311,84.99036,0.332,0.165,70.76,E,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
41,3,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,21.33692,78.96837,21.33692,78.96837,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
42,2,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,21.6233,81.79381,21.6233,81.79381,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
43,3,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,21.80114,82.03998,21.8016,82.03996,0.051,0.05,358.27,N,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
44,2,1,2026-08-01T19:25:00+00:00,2026-08-01T19:25:00+00:00,0.0,21.9695,85.31496,21.9695,85.31496,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
45,2,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,22.24599,87.38873,22.24586,87.38796,0.081,0.079,259.66,W,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
46,5,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,22.32016,82.56528,22.32016,82.56528,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
47,2,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,22.32565,82.54844,22.32565,82.54844,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
48,3,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,22.3312,82.60649,22.3312,82.60649,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
