cluster_id,observation_count,active_days,first_detection,last_detection,duration_days,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,mean_frp,max_frp,mean_confidence,persistence_score,persistence_category,bt_diff_mean,bt_diff_max,frp_mean_to_max_ratio,frp_per_observation,detection_density,active_day_ratio,is_multi_day,is_persistent_candidate,persistence_category_code,anomaly_score,anomaly_flag,abnormality_level,anomaly_characterization,explanation,contributing_factors
1135,1,1,2026-08-19,2026-08-19,1,302.36,302.36,286.6,286.6,0.86,0.86,2.0,0.0333,isolated,15.76,15.76,1.0,0.86,1.0,1.0,0,0,0,-0.176,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1136,1,1,2026-08-19,2026-08-19,1,308.24,308.24,276.11,276.11,1.12,1.12,2.0,0.0333,isolated,32.13,32.13,1.0,1.12,1.0,1.0,0,0,0,-0.1977,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1137,2,1,2026-08-19,2026-08-19,1,309.77,313.76,288.355,288.45,1.075,1.08,2.0,0.0333,isolated,21.415,25.31,0.9954,0.5375,2.0,1.0,0,0,0,-0.1596,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1138,1,1,2026-08-19,2026-08-19,1,305.05,305.05,289.04,289.04,0.76,0.76,2.0,0.0333,isolated,16.01,16.01,1.0,0.76,1.0,1.0,0,0,0,-0.1831,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1139,8,5,2026-08-19,2026-08-29,11,310.05,331.95,280.979,292.07,1.949,5.3,2.0,0.1667,persistent,29.071,39.88,0.3677,0.2436,0.7273,0.4545,1,1,2,0.0703,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
1140,1,1,2026-08-19,2026-08-19,1,305.73,305.73,287.18,287.18,3.24,3.24,2.0,0.0333,isolated,18.55,18.55,1.0,3.24,1.0,1.0,0,0,0,-0.1793,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1141,4,3,2026-08-19,2026-08-21,3,307.912,315.95,283.888,290.18,2.615,3.93,2.0,0.1,short_lived_repeated,24.024,25.77,0.6654,0.6538,1.3333,1.0,1,0,1,-0.0805,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1142,10,3,2026-08-19,2026-08-22,4,311.776,328.11,285.59,292.7,2.082,5.74,2.0,0.1,short_lived_repeated,26.186,35.41,0.3627,0.2082,2.5,0.75,1,0,1,-0.0171,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
1143,5,4,2026-08-19,2026-08-23,5,302.528,307.39,277.042,287.44,1.344,2.27,2.0,0.1333,short_lived_repeated,25.486,19.95,0.5921,0.2688,1.0,0.8,1,0,1,-0.0362,0,ELEVATED,PERSISTENT_THERMAL_ACTIVITY,Elevated abnormality primarily associated with persistent multi-day activity.,active_days
1144,9,5,2026-08-19,2026-08-23,5,307.617,321.86,278.566,287.49,1.926,4.0,2.0,0.1667,persistent,29.051,34.37,0.4815,0.214,1.8,1.0,1,1,2,-0.0125,0,ELEVATED,PERSISTENT_THERMAL_ACTIVITY,Elevated abnormality primarily associated with persistent multi-day activity.,active_days
1145,8,2,2026-08-19,2026-08-20,2,318.27,330.42,287.896,289.71,3.014,5.58,2.0,0.0667,short_lived_repeated,30.374,40.71,0.5401,0.3767,4.0,1.0,1,0,1,-0.0517,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1146,2,2,2026-08-19,2026-08-20,2,305.435,305.75,286.855,286.92,1.665,2.23,2.0,0.0667,short_lived_repeated,18.58,18.83,0.7466,0.8325,1.0,1.0,1,0,1,-0.1186,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1147,1,1,2026-08-19,2026-08-19,1,304.47,304.47,287.66,287.66,2.05,2.05,2.0,0.0333,isolated,16.81,16.81,1.0,2.05,1.0,1.0,0,0,0,-0.1829,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1148,1,1,2026-08-19,2026-08-19,1,308.23,308.23,288.16,288.16,2.12,2.12,2.0,0.0333,isolated,20.07,20.07,1.0,2.12,1.0,1.0,0,0,0,-0.1934,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1149,1,1,2026-08-19,2026-08-19,1,304.77,304.77,277.28,277.28,1.06,1.06,2.0,0.0333,isolated,27.49,27.49,1.0,1.06,1.0,1.0,0,0,0,-0.1933,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1150,15,7,2026-08-19,2026-08-29,11,309.963,338.76,290.825,297.7,3.013,11.47,1.933,0.2333,persistent,19.138,41.06,0.2627,0.2009,1.3636,0.6364,1,1,2,0.1139,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
1151,1,1,2026-08-20,2026-08-20,1,331.64,331.64,291.51,291.51,2.87,2.87,2.0,0.0333,isolated,40.13,40.13,1.0,2.87,1.0,1.0,0,0,0,-0.2126,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1152,3,1,2026-08-20,2026-08-20,1,343.217,345.56,297.58,301.81,9.483,13.45,2.0,0.0333,isolated,45.637,43.75,0.7051,3.161,3.0,1.0,0,0,0,-0.0861,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1153,2,1,2026-08-20,2026-08-20,1,334.535,335.88,293.91,294.16,4.96,6.2,2.0,0.0333,isolated,40.625,41.72,0.8,2.48,2.0,1.0,0,0,0,-0.1556,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1154,1,1,2026-08-20,2026-08-20,1,339.8,339.8,290.86,290.86,5.61,5.61,2.0,0.0333,isolated,48.94,48.94,1.0,5.61,1.0,1.0,0,0,0,-0.1957,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1155,1,1,2026-08-20,2026-08-20,1,330.17,330.17,295.34,295.34,3.18,3.18,2.0,0.0333,isolated,34.83,34.83,1.0,3.18,1.0,1.0,0,0,0,-0.2132,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1156,3,1,2026-08-20,2026-08-20,1,352.537,367.0,295.403,299.58,11.487,17.21,2.0,0.0333,isolated,57.134,67.42,0.6675,3.829,3.0,1.0,0,0,0,0.0562,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and elevated thermal energy (FRP).,"max_bright_ti4,bt_diff_max,max_frp,mean_frp"
1157,1,1,2026-08-20,2026-08-20,1,330.1,330.1,300.25,300.25,3.38,3.38,1.0,0.0333,isolated,29.85,29.85,1.0,3.38,1.0,1.0,0,0,0,-0.1137,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1158,1,1,2026-08-20,2026-08-20,1,332.41,332.41,298.32,298.32,5.91,5.91,2.0,0.0333,isolated,34.09,34.09,1.0,5.91,1.0,1.0,0,0,0,-0.2064,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1159,1,1,2026-08-20,2026-08-20,1,340.74,340.74,293.78,293.78,4.3,4.3,2.0,0.0333,isolated,46.96,46.96,1.0,4.3,1.0,1.0,0,0,0,-0.202,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1160,1,1,2026-08-20,2026-08-20,1,331.16,331.16,298.43,298.43,2.27,2.27,2.0,0.0333,isolated,32.73,32.73,1.0,2.27,1.0,1.0,0,0,0,-0.2174,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1161,1,1,2026-08-20,2026-08-20,1,333.92,333.92,299.67,299.67,1.92,1.92,2.0,0.0333,isolated,34.25,34.25,1.0,1.92,1.0,1.0,0,0,0,-0.2155,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1162,2,1,2026-08-20,2026-08-20,1,343.48,343.95,302.83,303.01,3.97,4.05,2.0,0.0333,isolated,40.65,40.94,0.9802,1.985,2.0,1.0,0,0,0,-0.1751,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1163,1,1,2026-08-20,2026-08-20,1,342.36,342.36,301.08,301.08,9.86,9.86,2.0,0.0333,isolated,41.28,41.28,1.0,9.86,1.0,1.0,0,0,0,-0.172,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1164,1,1,2026-08-20,2026-08-20,1,333.84,333.84,292.22,292.22,3.09,3.09,2.0,0.0333,isolated,41.62,41.62,1.0,3.09,1.0,1.0,0,0,0,-0.2143,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1165,1,1,2026-08-20,2026-08-20,1,333.73,333.73,297.5,297.5,1.71,1.71,2.0,0.0333,isolated,36.23,36.23,1.0,1.71,1.0,1.0,0,0,0,-0.21,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1166,1,1,2026-08-20,2026-08-20,1,336.28,336.28,292.14,292.14,6.71,6.71,2.0,0.0333,isolated,44.14,44.14,1.0,6.71,1.0,1.0,0,0,0,-0.1962,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1167,1,1,2026-08-20,2026-08-20,1,336.72,336.72,290.81,290.81,4.74,4.74,2.0,0.0333,isolated,45.91,45.91,1.0,4.74,1.0,1.0,0,0,0,-0.2059,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1168,1,1,2026-08-20,2026-08-20,1,332.49,332.49,291.52,291.52,2.44,2.44,2.0,0.0333,isolated,40.97,40.97,1.0,2.44,1.0,1.0,0,0,0,-0.2125,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1169,1,1,2026-08-20,2026-08-20,1,330.16,330.16,297.19,297.19,2.5,2.5,2.0,0.0333,isolated,32.97,32.97,1.0,2.5,1.0,1.0,0,0,0,-0.2171,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1170,1,1,2026-08-20,2026-08-20,1,331.69,331.69,292.84,292.84,3.58,3.58,2.0,0.0333,isolated,38.85,38.85,1.0,3.58,1.0,1.0,0,0,0,-0.2149,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1171,1,1,2026-08-20,2026-08-20,1,332.05,332.05,299.1,299.1,4.22,4.22,2.0,0.0333,isolated,32.95,32.95,1.0,4.22,1.0,1.0,0,0,0,-0.2163,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1172,1,1,2026-08-20,2026-08-20,1,337.63,337.63,293.35,293.35,5.12,5.12,2.0,0.0333,isolated,44.28,44.28,1.0,5.12,1.0,1.0,0,0,0,-0.207,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1173,1,1,2026-08-20,2026-08-20,1,334.34,334.34,300.19,300.19,4.39,4.39,2.0,0.0333,isolated,34.15,34.15,1.0,4.39,1.0,1.0,0,0,0,-0.2171,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1174,1,1,2026-08-20,2026-08-20,1,337.93,337.93,294.31,294.31,3.01,3.01,2.0,0.0333,isolated,43.62,43.62,1.0,3.01,1.0,1.0,0,0,0,-0.2093,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1175,1,1,2026-08-20,2026-08-20,1,330.09,330.09,301.2,301.2,5.84,5.84,1.0,0.0333,isolated,28.89,28.89,1.0,5.84,1.0,1.0,0,0,0,-0.0913,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1176,1,1,2026-08-20,2026-08-20,1,308.31,308.31,287.21,287.21,3.33,3.33,2.0,0.0333,isolated,21.1,21.1,1.0,3.33,1.0,1.0,0,0,0,-0.1837,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1177,18,6,2026-08-20,2026-08-30,11,310.981,343.58,281.134,291.53,2.577,14.28,2.0,0.2,persistent,29.847,52.05,0.1805,0.1432,1.6364,0.5455,1,1,2,0.1242,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and persistent multi-day activity.,"max_bright_ti4,bt_diff_max,active_days"
